Fecha,Titulo,Tipo,Ponente,Institución del ponente,# Asistentes,# Estudiantes Física
2,Gracias y desgracias de los óxidos metálicos en el siglo XXI,Divulgación del Estado del arte de óxidos metálicos en el siglo XXI,Dra Paloma Fernández Sanchez,Departamento Física de materiales  Facultad ciencia Física  Universidad Complutense de Madrid España,42,28
2,Materiales porosos su obtención y aplicaciones ''el caso del silicio poroso'',Conferencia sobre materiales porosos,Estudiante de doctorado Cristian Ramirez,Universidad autonoma de México. México,67,22
2,101 años del Fotón,Seminario,Diego Arias Serna,Docente Programa de Fïsica Universidad del Quindío,67,7
3,Dinámica molecular en Alfa-RbAg4I5 a temperatura ambiente ,Conferencia,Ph D Diego Peña Lara,Sin información,76,3
3,'Láser e un átomo por medio de asistencia fonónica'',Seminario,Santiago Echeverri Arteaga,Físico Universidad del Quindío Grupo óptica e informatica cuántica Grupo de Superconductores y nanotecnología Candidato Ph D. Universidad Nacional de Colombia,70,12
3,Iridiscencia en especies biológicas: casos el escarabajo joya y el colibrí colidorado,Seminario,Ph D Herbert Vinck Posada,Departamento de Física Universidad Nacional Colombia ,67,9
3,"Stephen Hawking, su vida y su legado",Seminario,Diego Arias Serna,Docente Programa de Fïsica Universidad del Quindío,57,8
4,Transiciones de fase,Seminario,Hernando Correa Gallego,Docente Programa de Fïsica Universidad del Quindío,52,6
4,Transiciones de fase cuánticas,Seminario,Edgar Arturo Gomez ,Docente Programa de Fïsica Universidad del Quindío,81,4
4,Estudios de la transición uítrea y estabilidad térmica en granos de café variedad castillo arábica mediante espectroscopia e impedancia eléctrica compleja,Seminario,Ph D José Castillo Chamorro,Docente Programa de Fïsica Universidad del Quindío,70,6
4,El objeto de estudio de la física: de la mecánica clásica a la revolución electrónica,Seminario,Gustavo Pinzón,Sin información,74,3
5,¿Hay logros reales en el aprendizaje de la mecánica Newtoniana?,Seminario,Ph D Diego Peña Lara,Sin información,28,4
5,Acople de sistes punto cuántico microcavidad con resonadores mecánicos,Seminario,Ph D Herbert Vinck Posada,Departamento de Física Universidad Nacional Colombia ,60,3
5,La crisis de conceptos de la teoría fisica clásica,Seminario,Magister Jairo Urrea Henao,Docente Programa de Fïsica Universidad del Quindío,64,3
8,Control de las vacancias de oxígeno en los memrístar ferroeléctricos,Seminario,Diego Arias Serna,Docente Programa de Fïsica Universidad del Quindío,4,2
8,Problemas no resueltos de la física,Seminario,Álvaro Serna Angel,"Físico Universidad de Antioquia, Maestría Hunter College of the City of New York, Ph. D. Física, Altas Energías,Virginia Tech, Blacksburg Virginia. Profesor en la Universidad Tecnologica de Pereira, Tritón College en Rivera Grove Illinois y en Proviso Math and Science Academy en Forest Park, Illinois",23,15
9,Límite entre súper conductividad y condensado de bose-einstein,Seminario,Santiago Echeverri-Arteaga,"Grupo de óptica e información cuántica, grupo de superconductividad y nanotecnología Ph.D. Candidate - Universidad Nacional de Colombia M.Sc. Physics - Universidad Nacional de Colombia Physicist - Universidad del Quindío ",24,19
9,Relación entre la no linealidad y no clasicalidad en sistemas cuánticos abiertos,Seminario,Edgar Arturo Gomez Gonzalez,Docente Programa de Fïsica Universidad del Quindío Grupo de Física Teórica,20,16.
10,Importancia de la elaboración de modelos en la explicación de los fenómenos físicos,Seminario,Diego Arias Serna,"Docente Programa de Fïsica Universidad del Quindío, Grupo de Física de Materiales Inorgánicos y orgánicos",14,12
2,Asignamiento propuestas de grado,Seminario de Física,Grupo FMIO,,7,3
2,Información general de las técnicas de crecimiento,Seminario FMIO,José Castillo ,"Docente Programa de Fïsica Universidad del Quindío, Grupo de Física de Materiales Inorgánicos y orgánicos",6,2
2,Potenciales termodinámicos ,Seminario FMIO,José Castillo ,"Docente Programa de Fïsica Universidad del Quindío, Grupo de Física de Materiales Inorgánicos y orgánicos",7,2
3,Transiciones de fase,Seminario,Andrews Montoya,Estudiante del programa de Física - Grupo FMIO,10,3
8,Introducción a las transiciones de Fase,Seminario FMIO,Prof. José Humberto Castillo Ch.,"Docente Programa de Fïsica Universidad del Quindío, Grupo de Física de Materiales Inorgánicos y orgánicos",12,9
8,Introducción al cambio de fase,Seminario FMIO,José Castillo ,"Docente Programa de Fïsica Universidad del Quindío, Grupo de Física de Materiales Inorgánicos y orgánicos",10,7
8,Propuestas posibles trabajos de grado o proyectos de investigación,Seminario,Diego Arias Serna,"Docente Programa de Fïsica Universidad del Quindío, Grupo de Física de Materiales Inorgánicos y orgánicos",11,6
9,Relajación en vidrios,Seminario,Ancizar Hernández,Estudiante Doctorado en grupo FMIO,7,5